"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Population                                      ",1,10.125,10.125,52.3777245039659,1.55847336687098e-11
"River                                           ",1,0.124999999999999,0.124999999999999,0.646638574123025,0.42245346042293
"Total                                           ",1,0.0355719939186962,0.0355719939186962,0.184017787410391,0.668492481681708
"Experiment_Water                                ",1,3.12686726898507,3.12686726898507,16.1756239383079,8.70807661288926e-05
"Location                                        ",1,0.00020652685417743,0.00020652685417743,0.00106838584402727,0.973963651899406
"Population:River                                ",1,1.13092833308619,1.13092833308619,5.85041507793755,0.0166413256669359
"Population:Total                                ",1,0.000698223414663072,0.000698223414663072,0.00361198554621635,0.95214758499087
"River:Total                                     ",1,0.0173226734882631,0.0173226734882631,0.0896120710755945,0.765040921499832
"Population:Experiment_Water                     ",1,0.132030947377334,0.132030947377334,0.683010428417537,0.409724206256125
"River:Experiment_Water                          ",1,1.12367777386507,1.12367777386507,5.81290714772679,0.0169874590227875
"Total:Experiment_Water                          ",1,0.00260620208795454,0.00260620208795454,0.0134821664162512,0.90770187772083
"Population:Location                             ",1,0.000217362652992494,0.000217362652992494,0.00112444060798932,0.973289612624513
"River:Location                                  ",1,0.000459073836908036,0.000459073836908036,0.00237483881052321,0.961190506831367
"Total:Location                                  ",1,0.00126000793589655,0.00126000793589655,0.00651815788041483,0.935748712286761
"Experiment_Water:Location                       ",1,1.60659091098722e-05,1.60659091098722e-05,8.31106924703838e-05,0.992736997516932
"Population:River:Total                          ",1,0.000780389754077837,0.000780389754077837,0.00403704094269693,0.949413864580642
"Population:River:Experiment_Water               ",1,0.133077215161042,0.133077215161042,0.688422885279999,0.407878747572161
"Population:Total:Experiment_Water               ",1,0.0411625036610922,0.0411625036610922,0.212938101397942,0.645071141885766
"River:Total:Experiment_Water                    ",1,0.00181063815979203,0.00181063815979203,0.00936662782320536,0.923015401205817
"Population:River:Location                       ",1,5.02301958559696e-05,5.02301958559696e-05,0.000259846257809798,0.987157986941996
"Population:Total:Location                       ",1,0.00161244415106246,0.00161244415106246,0.00834134869356842,0.927338406173881
"River:Total:Location                            ",1,0.449034737203119,0.449034737203119,2.32290545757388,0.129361936175435
"Population:Experiment_Water:Location            ",1,0.000639417077288519,0.000639417077288519,0.00330777397702212,0.954204699631163
"River:Experiment_Water:Location                 ",1,0.00948421553382321,0.00948421553382321,0.0490628768757356,0.824971038196157
"Total:Experiment_Water:Location                 ",1,0.163136446691379,0.163136446691379,0.843922554208092,0.359594367150416
"Population:River:Total:Experiment_Water         ",1,0.0345128843880768,0.0345128843880768,0.178538898796632,0.673172206297105
"Population:River:Total:Location                 ",1,0.3987811787273,0.3987811787273,2.06293834239459,0.152778421707916
"Population:River:Experiment_Water:Location      ",1,0.000229616117502153,0.000229616117502153,0.00118782911053807,0.972547348725497
"Population:Total:Experiment_Water:Location      ",1,0.0862441174826519,0.0862441174826519,0.44615018524385,0.505085439808817
"River:Total:Experiment_Water:Location           ",1,0.018514437824238,0.018514437824238,0.0957771974028382,0.757340759963281
"Population:River:Total:Experiment_Water:Location",1,0.238429461160319,0.238429461160319,1.23342149434905,0.268329673239946
"Residuals                                       ",168,32.475637613299,0.193307366745828,NA,NA
